source_line,category,selector,contract
738,behavior-test-hook,.entry__action-strip form,Stimulus runtime; test selector
742,behavior-test-hook,.entry__action-strip[hidden],HTML hidden state; test selector
742,behavior-test-hook,.entry__actions[hidden],HTML hidden state
742,behavior-test-hook,.entry__edit-step[hidden],HTML hidden state
742,behavior-test-hook,.entry__schedule-step[hidden],HTML hidden state; test selector
742,behavior-test-hook,.entry__move-step[hidden],HTML hidden state; test selector
750,reusable-component,.entry-action,""
750,reusable-component,".entry__schedule input[type=""date""]",test selector
750,reusable-component,".entry__move input[type=""text""]",test selector
762,reusable-component,.entry-action,""
768,reusable-component,.entry-action--warn,""
772,reusable-component,.entry-action--cancel,""
776,reusable-component,".entry__schedule input[type=""date""]",test selector
782,reusable-component,.entry__schedule-step,test selector
782,reusable-component,.entry__edit-step,""
787,reusable-component,.entry__schedule,test selector
787,reusable-component,.entry__edit,""
793,reusable-component,.entry__schedule,test selector
799,reusable-component,.entry__schedule label,test selector
805,reusable-component,.entry__edit,""
809,reusable-component,.entry__edit .rapid-log__kinds,""
813,reusable-component,.entry__edit label,""
821,reusable-component,.entry__edit-row,""
828,reusable-component,".entry__edit-row input[type=""text""]",""
838,reusable-component,".entry__move input[type=""text""]",test selector
844,reusable-component,.entry__children,""
848,reusable-component,.rapid-log,test selector
860,reusable-component,.rapid-log__kinds,""
866,reusable-component,.rapid-log__kind,test selector
879,behavior-test-hook,.rapid-log__kind--selected,Stimulus runtime; test selector
884,reusable-component,.rapid-log__input-wrap,""
892,reusable-component,.rapid-log__capture-row,""
898,reusable-component,.rapid-log__capture-row .rapid-log__input-wrap,""
903,reusable-component,".rapid-log__input-wrap input[type=""text""]",""
913,reusable-component,.rapid-log__submit,""
924,page-specific-layout,.daily-log__capture-reveal .entry-list__empty,test selector
929,reusable-component,.tab-bar,test selector
942,reusable-component,.tab-bar__item,test selector
956,reusable-component,.tab-bar__icon,test selector
966,behavior-test-hook,.tab-bar__item--active,test selector
972,page-specific-layout,.monthly-log__migration-link,""
972,page-specific-layout,.monthly-migration__primary-link,""
972,page-specific-layout,.monthly-migration__completion-links a,""
986,page-specific-layout,.monthly-log__migration-link,""
991,page-specific-layout,.monthly-migration,test selector
995,page-specific-layout,.monthly-migration__context,test selector
995,page-specific-layout,.monthly-migration__stage,test selector
995,page-specific-layout,.monthly-migration__source,test selector
1004,page-specific-layout,.monthly-migration__context,test selector
1008,page-specific-layout,.monthly-migration__stage,test selector
1013,page-specific-layout,.monthly-migration__source,test selector
1018,page-specific-layout,.monthly-migration__preferences,""
1025,page-specific-layout,.monthly-migration__inventory,""
1025,page-specific-layout,.monthly-migration__tree,""
1025,page-specific-layout,.monthly-migration__complete,test selector
1025,page-specific-layout,.monthly-migration__checkpoint,test selector
1025,page-specific-layout,.monthly-migration__confirmation,test selector
1034,page-specific-layout,.monthly-migration__confirmation,test selector
1040,page-specific-layout,.monthly-migration__confirmation p,test selector
1040,page-specific-layout,.monthly-migration__confirmation form,test selector
1040,page-specific-layout,.monthly-migration__checkpoint p,test selector
1046,page-specific-layout,.monthly-migration__capture,""
1055,page-specific-layout,.monthly-migration__capture > label,""
1055,page-specific-layout,.monthly-migration__second-step label,""
1062,page-specific-layout,.monthly-migration__capture-row,""
1062,page-specific-layout,.monthly-migration__choices,""
1062,page-specific-layout,.monthly-migration__second-step,""
1062,page-specific-layout,.monthly-migration__second-step form,""
1062,page-specific-layout,.monthly-migration__completion-links,""
1074,page-specific-layout,.monthly-migration__capture-row input,""
1074,page-specific-layout,.monthly-migration__second-step input,""
1086,page-specific-layout,.monthly-migration__primary-link,""
1091,page-specific-layout,.monthly-migration__candidate,test selector
1095,page-specific-layout,.monthly-migration__actions,test selector
1100,page-specific-layout,.monthly-migration__actions form,test selector
1104,page-specific-layout,.monthly-migration__button,""
1115,page-specific-layout,.monthly-migration__button--warn,""
1119,page-specific-layout,.monthly-migration__button:focus-visible,keyboard focus
1119,page-specific-layout,.monthly-migration__primary-link:focus-visible,keyboard focus
1119,page-specific-layout,.monthly-log__migration-link:focus-visible,keyboard focus
1119,page-specific-layout,.monthly-migration__completion-links a:focus-visible,keyboard focus
1119,page-specific-layout,.monthly-migration input:focus-visible,keyboard focus; test selector
1128,behavior-test-hook,.monthly-migration__choices[hidden],HTML hidden state
1128,behavior-test-hook,.monthly-migration__second-step[hidden],HTML hidden state
1133,page-specific-layout,.monthly-migration__second-step form,""
1137,page-specific-layout,.monthly-migration__complete h2,test selector
1144,page-specific-layout,.monthly-migration__actions,test selector
1148,page-specific-layout,.monthly-migration__button,""
1148,page-specific-layout,.monthly-migration__completion-links a,""
